PX Code,Region Name,Postal Code
FI1B1,Helsinki-Uusimaa,00480
FI1B1,Helsinki-Uusimaa,00490
FI1B1,Helsinki-Uusimaa,00500
FI1B1,Helsinki-Uusimaa,00510
FI1B1,Helsinki-Uusimaa,00520
FI1B1,Helsinki-Uusimaa,00530
FI1B1,Helsinki-Uusimaa,00540
FI1B1,Helsinki-Uusimaa,00550
FI1B1,Helsinki-Uusimaa,00560
FI1B1,Helsinki-Uusimaa,00570
FI1B1,Helsinki-Uusimaa,00580
FI1B1,Helsinki-Uusimaa,00590
FI1B1,Helsinki-Uusimaa,00600
FI1B1,Helsinki-Uusimaa,00610
FI1B1,Helsinki-Uusimaa,00620
FI1B1,Helsinki-Uusimaa,00630
FI1B1,Helsinki-Uusimaa,00640
FI1B1,Helsinki-Uusimaa,00650
FI1B1,Helsinki-Uusimaa,00660
FI1B1,Helsinki-Uusimaa,00670
FI1B1,Helsinki-Uusimaa,00680
FI1B1,Helsinki-Uusimaa,00690
FI1B1,Helsinki-Uusimaa,00700
FI1B1,Helsinki-Uusimaa,00710
FI1B1,Helsinki-Uusimaa,00720
FI1B1,Helsinki-Uusimaa,00730
FI1B1,Helsinki-Uusimaa,00740
FI1B1,Helsinki-Uusimaa,00750
FI1B1,Helsinki-Uusimaa,00760
FI1B1,Helsinki-Uusimaa,00770
FI1B1,Helsinki-Uusimaa,00780
FI1B1,Helsinki-Uusimaa,00790
FI1B1,Helsinki-Uusimaa,00800
FI1B1,Helsinki-Uusimaa,00810
FI1B1,Helsinki-Uusimaa,00820
FI1B1,Helsinki-Uusimaa,00830
FI1B1,Helsinki-Uusimaa,00840
FI1B1,Helsinki-Uusimaa,00850
FI1B1,Helsinki-Uusimaa,00860
FI1B1,Helsinki-Uusimaa,00870
FI1B1,Helsinki-Uusimaa,00880
FI1B1,Helsinki-Uusimaa,00890
FI1B1,Helsinki-Uusimaa,00900
FI1B1,Helsinki-Uusimaa,00910
FI1B1,Helsinki-Uusimaa,00920
FI1B1,Helsinki-Uusimaa,00930
FI1B1,Helsinki-Uusimaa,00940
FI1B1,Helsinki-Uusimaa,00950
FI1B1,Helsinki-Uusimaa,00960
FI1B1,Helsinki-Uusimaa,00970
FI1B1,Helsinki-Uusimaa,00980
FI1B1,Helsinki-Uusimaa,00990
